State.Name,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Pop.Jul.2019,Pop.Jul.2020,Pop.Jul.2021,Pop.Jul.2022,Pop.Jul.2023,Pop.Jul.2024,Crude.Mort.2019,Crude.Mort.2020,Crude.Mort.2021,Crude.Mort.2022,Crude.Mort.2023,Crude.Mort.2024,PctChg.Deaths.19.20,PctChg.Deaths.20.21,PctChg.Deaths.21.22,PctChg.Deaths.22.23,PctChg.Deaths.23.24,PctChg.Deaths.19.24,PctChg.Pop.19.20,PctChg.Pop.20.21,PctChg.Pop.21.22,PctChg.Pop.22.23,PctChg.Pop.23.24,PctChg.Pop.19.24
Alabama,130,189,171,271,328,277,27590,27207.5,25214.5,25975,26731.5,27208,47.11852120333454,69.46613985114399,67.81812052588788,104.3310875842156,122.70168153676376,101.80829167891797,45.38461538461539,-9.523809523809524,58.47953216374269,21.033210332103323,-15.548780487804878,113.07692307692308,-1.3863718738673432,-7.325186070017459,3.0161216760197505,2.912415784408085,1.7825411967154856,-1.3845596230518304
Alaska,4,14,8,18,10,15,4415,4250.5,4278,4497,4510,4444,9.060022650056625,32.93730149394189,18.700327255726975,40.0266844563042,22.172949002217294,33.753375337533754,250,-42.857142857142854,125,-44.44444444444444,50,275,-3.725934314835787,0.6469827079167156,5.119214586255259,0.289081609962197,-1.4634146341463417,0.6568516421291053
Arizona,113,156,146,154,109,110,42123.5,41381,36693,34412,34197,34787,26.825881040274428,37.69846064619028,39.78960564685362,44.75183075671277,31.87414100652104,31.62100784775922,38.05309734513274,-6.41025641025641,5.47945205479452,-29.22077922077922,0.9174311926605505,-2.6548672566371683,-1.7626740418056428,-11.328870737778207,-6.216444553457063,-0.6247820527722887,1.7252975407199462,-17.416643916103837
Arkansas,76,122,68,64,92,94,17784,17403.5,16165.5,17074,18144,18806,42.73504273504274,70.10084178469847,42.06489128081408,37.4838936394518,50.70546737213404,49.984047644368815,60.526315789473685,-44.26229508196721,-5.88235294117647,43.75,2.1739130434782608,23.684210526315788,-2.1395636527215474,-7.113511649955469,5.619993195385234,6.266838467845847,3.6485890652557322,5.746738641475484
California,403,499,413,396,375,396,127662,120480,96716,97629.5,97520,94717,31.567733546395953,41.41766268260292,42.70234501013277,40.56151060898601,38.45365053322396,41.80875661180147,23.82133995037221,-17.234468937875754,-4.116222760290557,-5.303030303030303,5.6000000000000005,-1.7369727047146404,-5.625793109930911,-19.724435590969456,0.9445179701393771,-0.11215872251727194,-2.87428219852338,-25.80642634456612
Colorado,45,68,46,54,43,52,20019,18647.5,15803.5,16457.5,17023,17376,22.478645286977372,36.466014211020244,29.10747619198279,32.811787938629806,25.25994243082888,29.926335174953962,51.11111111111111,-32.35294117647059,17.391304347826086,-20.37037037037037,20.930232558139537,15.555555555555555,-6.8509915580198815,-15.25137417884435,4.138323789034075,3.4361233480176208,2.0736650414145568,-13.202457665218043
Connecticut,19,34,24,29,20,32,12861,11180.5,9052,9788,10086.5,10580,14.773345774045563,30.410088994231028,26.513477684489615,29.62811606048222,19.82848361671541,30.245746691871457,78.94736842105263,-29.411764705882355,20.833333333333336,-31.03448275862069,60,68.42105263157895,-13.06663556488609,-19.037610124770808,8.130799823243482,3.0496526358806704,4.892678332424528,-17.73579037399891
Delaware,12,21,17,19,19,20,5927.5,5165,4625,4887,4973,4940,20.244622522142553,40.658276863504355,36.75675675675676,38.87865766318805,38.206314096119044,40.48582995951417,75,-19.047619047619047,11.76470588235294,0,5.263157894736842,66.66666666666666,-12.863770560944749,-10.454985479186835,5.664864864864865,1.7597708205443015,-0.6635833500904886,-16.65963728384648
Florida,400,590,440,388,451,409,96969.5,92453.5,81317.5,83336.5,86143.5,88031,41.2500837892327,63.815864191188005,54.108894149475816,46.55823078723009,52.354501500403394,46.460905817268916,47.5,-25.423728813559322,-11.818181818181818,16.237113402061855,-9.312638580931264,2.25,-4.657134459804372,-12.044973959882535,2.4828603929043567,3.3682720056637847,2.1911113432818494,-9.217846848751412
Georgia,160,281,247,255,262,333,55124.5,53658.5,46648.5,47550,49391,51002,29.02520657783744,52.36821752378468,52.94918378940373,53.62776025236593,53.046101516470614,65.29155719383553,75.625,-12.099644128113878,3.2388663967611335,2.7450980392156863,27.099236641221374,108.125,-2.6594345526943557,-13.064099816431693,1.9325380237306666,3.871713985278654,3.2617278451539757,-7.478525882320929
Hawaii,16,19,21,17,18,14,5301.5,4594,4116,4166,4079.5,3887,30.180137696878244,41.3582934262081,51.0204081632653,40.80652904464715,44.123054295869586,36.017494211474144,18.75,10.526315789473683,-19.047619047619047,5.88235294117647,-22.22222222222222,-12.5,-13.345279637838347,-10.404875925119722,1.2147716229348884,-2.0763322131541044,-4.718715528863831,-26.68112798264642
Idaho,26,34,29,19,24,24,8950.5,9198.5,8245.5,8895.5,9333.5,9763,29.04865649963689,36.96254824156112,35.17069916924383,21.35911415884436,25.713826538811805,24.58260780497798,30.76923076923077,-14.705882352941178,-34.48275862068966,26.31578947368421,0,-7.6923076923076925,2.7707949276576724,-10.36038484535522,7.8830877448305134,4.923837895565173,4.601703541008197,9.077705156136528
